Reference of FaultHunter coding rule violations,,,,
,Nonreentrant Functions getnetbyname,CPPCHECK_NRFGNBN,CODE_SMELL,Minor
,Nonreentrant Functions getnetgrent,CPPCHECK_NRFGNG,CODE_SMELL,Minor
,Nonreentrant Functions getprotobyname,CPPCHECK_NRFGPBN,CODE_SMELL,Minor
,Nonreentrant Functions getpwent,CPPCHECK_NRFGPE,CODE_SMELL,Minor
,Nonreentrant Functions getpwnam,CPPCHECK_NRFGPN,CODE_SMELL,Minor
,Nonreentrant Functions getpwuid,CPPCHECK_NRFGPU,CODE_SMELL,Minor
,Nonreentrant Functions getrpcbyname,CPPCHECK_NRFGRBNA,CODE_SMELL,Minor
,Nonreentrant Functions getrpcbynumber,CPPCHECK_NRFGRBNU,CODE_SMELL,Minor
,Nonreentrant Functions getrpcent,CPPCHECK_NRFGRP,CODE_SMELL,Minor
,Nonreentrant Functions getservbyname,CPPCHECK_NRFGSBN,CODE_SMELL,Minor
,Nonreentrant Functions getservbyport,CPPCHECK_NRFGSBP,CODE_SMELL,Minor
,Nonreentrant Functions getservent,CPPCHECK_NRFGS,CODE_SMELL,Minor
,Nonreentrant Functions getspent,CPPCHECK_NRFGSE,CODE_SMELL,Minor
,Nonreentrant Functions getspnam,CPPCHECK_NRFGSN,CODE_SMELL,Minor
,Nonreentrant Functions gmtime,CPPCHECK_NRFGMT,CODE_SMELL,Minor
,Nonreentrant Functions localtime,CPPCHECK_NRFLT,CODE_SMELL,Minor
,Nonreentrant Functions readdir,CPPCHECK_NRFRD,CODE_SMELL,Minor
,Nonreentrant Functions strtok,CPPCHECK_NRFST,CODE_SMELL,Minor
,Nonreentrant Functions tempnam,CPPCHECK_NRFTN,CODE_SMELL,Minor
,Nonreentrant Functions ttyname,CPPCHECK_NRFTTYN,CODE_SMELL,Minor
STL Rules,Deref Invalid Iterator,CPPCHECK_DII,BUG,Critical
,Erase Dereference,CPPCHECK_ED,BUG,Blocker
,Invalid Iterator1,CPPCHECK_IIT,BUG,Blocker
,Invalid Iterator2,CPPCHECK_IIT2,BUG,Blocker
,Invalid Pointer,CPPCHECK_IP,BUG,Blocker
,Iterators,CPPCHECK_IT,BUG,Blocker
,Mismatching Containers,CPPCHECK_MMC,BUG,Blocker
,Read Empty Container,CPPCHECK_REC,CODE_SMELL,Minor
,Redundant If Remove,CPPCHECK_RIR,CODE_SMELL,Minor
,Stl Boundaries,CPPCHECK_STLB,BUG,Blocker
,Stl If Find,CPPCHECK_STLIF,BUG,Critical
