Reference of FxCop coding rule violations,,,,
Category,Name,Abbreviation,,Prio.
,Call GetLastError immediately after P/Invoke,FXCOP_CGLEIA,BUG,Critical
,COM registration methods should be matched,FXCOP_CRMSBM,BUG,Major
,COM registration methods should not be visible,FXCOP_CRMSNBV,VULNERABILITY,Major
,COM visible type base types should be COM visible,FXCOP_CVTBTSBCV,BUG,Critical
,COM visible types should be creatable,FXCOP_CVTSBC,BUG,Critical
,Declare P/Invokes correctly,FXCOP_DC,BUG,Blocker
,Do not use AutoDual ClassInterfaceType,FXCOP_DNUADCIT,BUG,Blocker
,Mark boolean P/Invoke arguments with MarshalAs,FXCOP_MBAWMA,BUG,Minor
,Mark ComSource interfaces as IDispatch,FXCOP_MCSIA,BUG,Critical
,P/Invoke entry points should exist,FXCOP_PEPSE,BUG,Major
,P/Invokes should not be visible,FXCOP_PSNBV,VULNERABILITY,Blocker
Microsoft.Maintainability Rules,Avoid excessive class coupling,FXCOP_AECC,CODE_SMELL,Minor
,Avoid excessive complexity,FXCOP_AEC,CODE_SMELL,Minor
,Avoid excessive inheritance,FXCOP_AVEXIN,CODE_SMELL,Minor
,Avoid unmaintainable code,FXCOP_AUC,CODE_SMELL,Minor
,Review misleading field names,FXCOP_RMFN,CODE_SMELL,Minor
,Variable names should not match field names,FXCOP_VNSNMFN,BUG,Critical
Microsoft.Mobility Rules,Do not use idle process priority,FXCOP_DNUIPP,BUG,Critical
,Do not use timers that prevent power state changes,FXCOP_DNUTTPPSC,BUG,Critical
Microsoft.Naming Rules,Compound words should be cased correctly,FXCOP_CWSBCC,CODE_SMELL,Critical
,Do not name enum values ‘Reserved’,FXCOP_DNNEVR,CODE_SMELL,Critical
,Do not prefix enum values with type name,FXCOP_DNPEVWTN,CODE_SMELL,Critical
,Events should not have before or after prefix,FXCOP_ESNHBOAP,CODE_SMELL,Critical
,Flags enums should have plural names,FXCOP_FESHPN,CODE_SMELL,Critical
,Identifiers should be cased correctly,FXCOP_ISBCC,CODE_SMELL,Critical
,Identifiers should be spelled correctly,FXCOP_ISBSC,CODE_SMELL,Major
,Identifiers should differ by more than case,FXCOP_ISDBMTC,BUG,Critical
,Identifiers should have correct prefix,FXCOP_ISHCP,CODE_SMELL,Critical
,Identifiers should have correct suffix,FXCOP_ISHCS,CODE_SMELL,Critical
,Identifiers should not contain type names,FXCOP_ISNCTN,CODE_SMELL,Critical
,Identifiers should not contain underscores,FXCOP_ISNCU,CODE_SMELL,Critical
,Identifiers should not have incorrect prefix,FXCOP_ISNHIP,BUG,Critical
,Identifiers should not have incorrect suffix,FXCOP_ISNHIS,BUG,Blocker
,Identifiers should not match keywords,FXCOP_ISNMK,BUG,Critical
,Only FlagsAttribute enums should have plural names,FXCOP_OFESHPN,CODE_SMELL,Critical
,Parameter names should match base declaration,FXCOP_PNSMBD,BUG,Critical
,Parameter names should not match member names,FXCOP_PNSNMMN,BUG,Critical
,Property names should not match get methods,FXCOP_PNSNMGM,BUG,Critical
,Resource string compound words should be cased correctly,FXCOP_RSCWSBCC,CODE_SMELL,Critical
