,Constructor Calls Overridable Method,PMD_CCOM,BUG,Critical,
,Default Label Not Last In Switch Stmt,PMD_DLNLISS,CODE_SMELL,Minor,
,Empty Method In Abstract Class Should Be Abstract,PMD_EMIACSBA,BUG,Major,
,Equals Null,PMD_EN,BUG,Critical,
,Field Declarations Should Be At Start Of Class,PMD_FDSBASOC,CODE_SMELL,Minor,
,Final Field Could Be Static,PMD_FFCBS,CODE_SMELL,Minor,
,Idempotent Operations,PMD_IO,BUG,Major,
,Immutable Field,PMD_IF,CODE_SMELL,Minor,
,Instantiation To Get Class,PMD_ITGC,CODE_SMELL,Major,
,Logic Inversion,PMD_LI,CODE_SMELL,Minor,
,Missing Break In Switch,PMD_MBIS,BUG,Critical,
,Missing Static Method In Non Instantiatable Class,PMD_MSMINIC,BUG,Minor,
,Non Case Label In Switch Statement,PMD_NCLISS,CODE_SMELL,Critical,
,Non Static Initializer,PMD_NSI,CODE_SMELL,Critical,
,Non Thread Safe Singleton,PMD_NTSS,CODE_SMELL,Critical,
,Optimizable To Array Call,PMD_OTAC,CODE_SMELL,Major,
,Position Literals First In Case Insensitive Comparisons,PMD_PLFICIC,BUG,Critical,
,Position Literals First In Comparisons,PMD_PLFIC,BUG,Critical,
,Preserve Stack Trace,PMD_PST,CODE_SMELL,Major,
,Return Empty Array Rather Than Null,PMD_REARTN,CODE_SMELL,Major,
,Simple Date Format Needs Locale,PMD_SDFNL,CODE_SMELL,Minor,
,Simplify Boolean Expressions,PMD_SBE,CODE_SMELL,Minor,
,Simplify Boolean Returns,PMD_SBR,CODE_SMELL,Minor,
,Simplify Conditional,PMD_SC,CODE_SMELL,Minor,
,Singular Field,PMD_SF,CODE_SMELL,Major,
,Switch Stmts Should Have Default,PMD_SSSHD,BUG,Major,
,Too Few Branches For ASwitch Statement,PMD_TFBFASS,CODE_SMELL,Minor,
,Uncommented Empty Constructor,PMD_UEC,CODE_SMELL,Minor,
,Uncommented Empty Method,PMD_UEM,CODE_SMELL,Minor,
